-0.000000,0.000401,0.475732,0.000508,-0.000000,-0.000000,-0.000000,ovf,0.000003,-0.061419,-0.000000,ovf,0.000000,ovf,-251194.359375,ovf,-0.000001,ovf
1.920000,7.975739,0.000000,0.001287,0.027792,0.000000,0.001240,-0.028488,8.173490,-0.000953,0.086789,-185.344711,0.000077,-0.003276,0.000000,0.000000,0.000000,0.000000
-7.720000,-13.953924,0.000000,0.001427,-0.111747,0.000000,0.001162,0.125770,-14.468292,0.002323,-0.455993,275.687805,0.000066,0.003993,0.000000,0.000000,0.000000,0.000000
10.290000,26.069523,0.000000,0.001150,0.148948,0.000000,0.001096,-0.170777,27.406855,-0.001670,0.711156,-454.679260,0.000057,-0.006693,0.000000,0.000000,0.000000,0.000000
-7.590000,-25.881344,0.000000,0.001664,-0.109865,0.000000,0.001039,0.134688,-27.650023,0.005023,-0.627630,409.921692,-0.000159,0.006076,0.000000,0.000000,0.000000,0.000000
-7.810000,-0.318450,0.000000,0.001421,-0.113050,0.000000,0.001198,0.145167,-0.347040,-0.001053,-0.742022,4.690419,0.000386,-0.001930,0.000000,0.000000,0.000000,0.000000
1.910000,6.817737,0.000000,0.000664,0.027647,0.000000,0.000360,-0.027594,6.871603,0.012421,0.049261,-265.916046,0.000055,-0.004898,0.000000,0.000000,0.000000,0.000000
-4.770000,-9.669317,0.000000,0.000771,-0.069046,0.000000,0.000306,0.071485,-9.746701,0.017320,-0.127618,377.176025,0.000009,0.006806,0.000000,0.000000,0.000000,0.000000
-5.570000,-1.158002,0.000000,0.000697,-0.080626,0.000000,0.000297,0.085043,-1.176035,0.010514,-0.206755,33.418175,0.000208,0.000061,0.000000,0.000000,0.000000,0.000000
0.090000,8.192865,0.000000,0.000591,0.001303,0.000000,0.000089,-0.000765,8.395600,0.010453,0.002330,-190.381393,0.000157,-0.003599,0.000000,0.000000,0.000000,0.000000
-7.710000,-11.290520,0.000000,0.000745,-0.111602,0.000000,-0.000067,0.124851,-11.707263,0.014052,-0.452661,223.077454,0.000116,0.003006,0.000000,0.000000,0.000000,0.000000
-3.200000,6.528237,0.000000,0.000558,-0.046320,0.000000,-0.000183,0.054166,6.862357,0.011046,-0.225561,-113.846390,0.000276,-0.002771,0.000000,0.000000,0.000000,0.000000
19.980000,33.553108,0.000000,0.000571,0.289211,0.000000,-0.000459,-0.348574,35.843658,0.013817,1.624317,-531.395264,-0.000265,-0.005663,0.000000,0.000000,0.000000,0.000000
-8.530000,-41.268295,0.000000,0.001581,-0.123472,0.000000,-0.000195,0.158587,-44.897224,0.019480,-0.810616,606.808533,-0.000421,0.009308,0.000000,0.000000,0.000000,0.000000
3.200000,16.979204,0.000000,0.001389,0.046320,0.000000,0.000226,-0.060092,18.847542,0.010172,0.331666,-235.913223,0.000195,-0.003587,0.000000,0.000000,0.000000,0.000000
-3.590000,-9.828543,0.000000,0.001703,-0.051965,0.000000,0.000031,0.075993,-11.159221,0.013759,-0.447180,131.009918,-0.000006,0.001278,0.000000,0.000000,0.000000,0.000000
4.320000,11.449745,0.000000,0.001743,0.062532,0.000000,0.000037,-0.091443,13.313806,0.012482,0.567791,-148.130798,0.000005,-0.001271,0.000000,0.000000,0.000000,0.000000
-1.040000,-0.651376,0.000000,0.000177,-0.015054,0.000000,-0.000443,0.015662,-0.657248,0.026328,-0.027961,25.434072,0.000030,0.000408,0.000000,0.000000,0.000000,0.000000
0.130000,1.693578,0.000000,0.000201,0.001882,0.000000,-0.000473,-0.001720,1.706367,0.025920,0.003071,-66.032700,0.000028,-0.001243,0.000000,0.000000,0.000000,0.000000
-1.810000,-2.808155,0.000000,0.000476,-0.026200,0.000000,-0.000501,0.027896,-2.851835,0.027163,-0.067820,81.037651,0.000021,0.001353,0.000000,0.000000,0.000000,0.000000
-2.700000,-1.288277,0.000000,0.000662,-0.039083,0.000000,-0.000522,0.042718,-1.321476,0.025809,-0.130142,29.966219,0.000090,0.000213,0.000000,0.000000,0.000000,0.000000
-0.510000,3.170031,0.000000,0.000812,-0.007382,0.000000,-0.000613,0.009106,3.285273,0.025597,-0.033016,-62.599625,0.000087,-0.001275,0.000000,0.000000,0.000000,0.000000
-2.910000,-3.474006,0.000000,0.001064,-0.042122,0.000000,-0.000699,0.049900,-3.654177,0.026872,-0.207797,60.622734,0.000066,0.000588,0.000000,0.000000,0.000000,0.000000
1.830000,6.861162,0.000000,0.001217,0.026489,0.000000,-0.000765,-0.030520,7.327549,0.026283,0.142218,-108.633575,0.000056,-0.001673,0.000000,0.000000,0.000000,0.000000
-4.460000,-9.104791,0.000000,0.001582,-0.064559,0.000000,-0.000821,0.083877,-9.907763,0.027957,-0.428736,133.908386,0.000039,0.001379,0.000000,0.000000,0.000000,0.000000
-2.360000,3.039756,0.000000,0.001689,-0.034161,0.000000,-0.000860,0.047948,3.371413,0.026578,-0.264638,-42.199718,0.000193,-0.001517,0.000000,0.000000,0.000000,0.000000
