-0.000000,-0.000000,0.475725,0.129967,-0.000000,ovf,-0.000000,ovf,-0.000003,-0.061451,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000001,ovf
-0.230000,-10.089092,0.000000,0.000227,-0.003329,0.000000,-0.000873,0.003823,-10.340540,0.024583,-0.011646,234.485458,-0.000185,0.004416,0.000000,0.000000,0.000000,0.000000
2.680000,4.212233,0.000000,0.000412,0.038793,0.000000,-0.000687,-0.042652,4.366230,0.020167,0.154641,-83.196869,-0.000032,-0.001165,0.000000,0.000000,0.000000,0.000000
4.510000,2.648930,0.000000,0.000729,0.065282,0.000000,-0.000655,-0.074590,2.783343,0.021332,0.310610,-46.175606,-0.000149,-0.000032,0.000000,0.000000,0.000000,0.000000
4.060000,-0.651377,0.000000,0.001129,0.058769,0.000000,-0.000506,-0.069608,-0.697736,0.021364,0.324364,10.344188,-0.000201,0.001073,0.000000,0.000000,0.000000,0.000000
-7.480000,-16.704180,0.000000,0.001517,-0.108273,0.000000,-0.000305,0.139232,-18.174402,0.020291,-0.711684,245.636185,0.000033,0.002724,0.000000,0.000000,0.000000,0.000000
-4.840000,3.821407,0.000000,0.001426,-0.070059,0.000000,-0.000338,0.095606,4.240026,0.017567,-0.527678,-53.072071,0.000339,-0.002437,0.000000,0.000000,0.000000,0.000000
0.950000,8.381040,0.000000,0.001455,0.013751,0.000000,-0.000676,-0.017411,9.510975,0.020004,0.102456,-111.659401,0.000132,-0.001833,0.000000,0.000000,0.000000,0.000000
8.640000,11.131295,0.000000,0.001736,0.125064,0.000000,-0.000809,-0.185520,12.942604,0.021837,1.151934,-144.000778,-0.000257,0.000393,0.000000,0.000000,0.000000,0.000000
-9.860000,-12.926197,0.000000,-0.001019,-0.142724,0.000000,-0.001774,0.145170,-13.029808,0.033066,-0.259162,504.225128,0.000146,0.008846,0.000000,0.000000,0.000000,0.000000
-6.650000,4.646483,0.000000,-0.001326,-0.096259,0.000000,-0.001921,0.097201,4.682873,0.024220,-0.173527,-181.216949,0.000351,-0.003917,0.000000,0.000000,0.000000,0.000000
