0.475724,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,ovf,0.000000,ovf,-259390.359375,ovf,-0.000001,ovf,0.000000,-0.000000
-15.660000,-21.929665,0.000000,-0.002360,-0.226679,0.000000,-0.003707,0.229679,-22.105358,0.054237,-0.410030,855.429138,0.000203,0.015093,0.000000,0.000000,0.000000,0.000000
-7.550000,11.739245,0.000000,-0.002647,-0.109286,0.000000,-0.003909,0.111516,11.916532,0.039145,-0.271117,-338.619751,0.000527,-0.007173,0.000000,0.000000,0.000000,0.000000
-6.150000,2.026504,0.000000,-0.002572,-0.089021,0.000000,-0.004436,0.092916,2.075114,0.046318,-0.283072,-47.055965,0.000290,-0.001644,0.000000,0.000000,0.000000,0.000000
4.090000,14.822427,0.000000,-0.002454,0.059203,0.000000,-0.004726,-0.068520,15.366363,0.047961,0.248425,-292.800201,0.000105,-0.004869,0.000000,0.000000,0.000000,0.000000
8.240000,6.007135,0.000000,-0.001902,0.119274,0.000000,-0.004831,-0.140017,6.312714,0.052831,0.583062,-104.727821,-0.000259,-0.000397,0.000000,0.000000,0.000000,0.000000
-2.130000,-15.010602,0.000000,-0.001185,-0.030832,0.000000,-0.004571,0.035803,-16.038977,0.053227,-0.166838,237.783630,-0.000206,0.004052,0.000000,0.000000,0.000000,0.000000
4.200000,9.162691,0.000000,-0.000921,0.060795,0.000000,-0.004365,-0.078266,9.964728,0.049175,0.400057,-134.678299,-0.000023,-0.001475,0.000000,0.000000,0.000000,0.000000
-3.390000,-10.986545,0.000000,-0.000396,-0.049070,0.000000,-0.004342,0.065100,-12.200339,0.050651,-0.359303,152.710678,-0.000055,0.001922,0.000000,0.000000,0.000000,0.000000
3.560000,10.060143,0.000000,-0.000194,0.051531,0.000000,-0.004287,-0.073240,11.415726,0.048729,0.430983,-134.021317,0.000018,-0.001375,0.000000,0.000000,0.000000,0.000000
-8.570000,-17.558205,0.000000,0.000297,-0.124051,0.000000,-0.004306,0.187054,-20.425461,0.050104,-1.161460,227.255829,0.000119,0.001164,0.000000,0.000000,0.000000,0.000000
-9.590000,-7.194088,0.000000,-0.001529,-0.138815,0.000000,-0.002285,0.140644,-7.252098,0.033476,-0.251083,280.640350,0.000243,0.004633,0.000000,0.000000,0.000000,0.000000
-1.250000,12.072171,0.000000,-0.001825,-0.018094,0.000000,-0.002528,0.016658,12.167521,0.028844,-0.029738,-470.856506,0.000275,-0.009005,0.000000,0.000000,0.000000,0.000000
-3.530000,-3.300306,0.000000,-0.001538,-0.051097,0.000000,-0.002803,0.051825,-3.351662,0.037848,-0.125997,95.240723,0.000076,0.001479,0.000000,0.000000,0.000000,0.000000
-2.620000,1.317227,0.000000,-0.001370,-0.037925,0.000000,-0.002879,0.039289,1.348505,0.036369,-0.119694,-30.579128,0.000132,-0.000905,0.000000,0.000000,0.000000,0.000000
5.390000,11.594496,0.000000,-0.001172,0.078020,0.000000,-0.003010,-0.088006,12.019831,0.037275,0.319075,-229.033295,-0.000011,-0.003472,0.000000,0.000000,0.000000,0.000000
4.170000,-1.765953,0.000000,-0.000628,0.060361,0.000000,-0.003000,-0.070472,-1.858833,0.040747,0.293460,30.838017,-0.000226,0.001384,0.000000,0.000000,0.000000,0.000000
2.200000,-2.851580,0.000000,-0.000144,0.031845,0.000000,-0.002774,-0.038631,-3.048945,0.039363,0.180015,45.201725,-0.000162,0.001340,0.000000,0.000000,0.000000,0.000000
-2.330000,-6.557187,0.000000,0.000255,-0.033727,0.000000,-0.002612,0.043094,-7.136379,0.038022,-0.220276,96.451752,-0.000018,0.001228,0.000000,0.000000,0.000000,0.000000
0.120000,3.546381,0.000000,0.000462,0.001737,0.000000,-0.002594,-0.001705,3.933743,0.036794,0.009410,-49.238346,0.000070,-0.000909,0.000000,0.000000,0.000000,0.000000
3.780000,5.297860,0.000000,0.000776,0.054716,0.000000,-0.002664,-0.076377,6.010087,0.037703,0.449442,-70.558777,-0.000093,-0.000119,0.000000,0.000000,0.000000,0.000000
-2.370000,-8.902141,0.000000,0.001246,-0.034306,0.000000,-0.002571,0.053480,-10.357897,0.037822,-0.332070,115.243042,-0.000051,0.001284,0.000000,0.000000,0.000000,0.000000
-2.000000,0.535576,0.000000,0.001468,-0.028950,0.000000,-0.002520,0.048760,0.634549,0.036538,-0.316750,-6.748323,0.000144,-0.000987,0.000000,0.000000,0.000000,0.000000
-7.150000,-6.224261,0.000000,-0.001296,-0.103496,0.000000,-0.002100,0.104725,-6.274618,0.035339,-0.186959,242.814011,0.000164,0.004094,0.000000,0.000000,0.000000,0.000000
0.820000,11.536595,0.000000,-0.001492,0.011870,0.000000,-0.002264,-0.013681,11.627608,0.031245,0.024423,-449.963013,0.000183,-0.008462,0.000000,0.000000,0.000000,0.000000
6.040000,7.555963,0.000000,-0.001098,0.087429,0.000000,-0.002447,-0.092576,7.669508,0.039706,0.225069,-217.936493,-0.000106,-0.003502,0.000000,0.000000,0.000000,0.000000
1.920000,-5.963710,0.000000,-0.000469,0.027792,0.000000,-0.002342,-0.030375,-6.113520,0.043209,0.092539,138.632172,-0.000198,0.002882,0.000000,0.000000,0.000000,0.000000
