0.473771,0.000569,0.000000,-0.064653,-0.000000,ovf,0.000003,-0.000000,-0.000000,-198.274826,0.000000,ovf,ovf,ovf,-0.000001,ovf,0.000000,-0.000000
1.130000,1.519878,0.000000,0.000545,0.016357,0.000000,-0.002162,-0.023785,1.764680,0.028089,0.147688,-19.634018,-0.000031,0.000028,0.000000,0.000000,0.000000,0.000000
-0.550000,8.265240,0.000000,-0.000604,-0.007961,0.000000,-0.001169,0.007592,8.330363,0.024576,-0.013554,-322.366852,0.000178,-0.006141,0.000000,0.000000,0.000000,0.000000
-0.340000,0.303976,0.000000,-0.000566,-0.004922,0.000000,-0.001347,0.004459,0.305626,0.030716,-0.007961,-11.827061,0.000018,-0.000234,0.000000,0.000000,0.000000,0.000000
-1.430000,-1.577778,0.000000,-0.000288,-0.020699,0.000000,-0.001365,0.021345,-1.602822,0.030951,-0.051893,45.545738,0.000027,0.000722,0.000000,0.000000,0.000000,0.000000
0.000000,2.069929,0.000000,-0.000063,0.000000,0.000000,-0.001392,-0.000068,2.119964,0.030228,0.000207,-48.072994,0.000040,-0.000911,0.000000,0.000000,0.000000,0.000000
0.730000,1.056677,0.000000,0.000225,0.010567,0.000000,-0.001432,-0.011493,1.093914,0.031139,0.041669,-20.844118,-0.000010,-0.000280,0.000000,0.000000,0.000000,0.000000
0.350000,-0.550051,0.000000,0.000546,0.005066,0.000000,-0.001421,-0.005223,-0.580325,0.031419,0.021750,9.627582,-0.000025,0.000242,0.000000,0.000000,0.000000,0.000000
2.790000,3.531906,0.000000,0.000854,0.040385,0.000000,-0.001396,-0.047740,3.770710,0.031178,0.222464,-55.902153,-0.000058,-0.000457,0.000000,0.000000,0.000000,0.000000
-3.680000,-9.365341,0.000000,0.001271,-0.053268,0.000000,-0.001339,0.069164,-10.191335,0.031635,-0.353531,137.740997,-0.000006,0.001653,0.000000,0.000000,0.000000,0.000000
-4.960000,-1.852803,0.000000,0.001421,-0.071796,0.000000,-0.001333,0.097923,-2.060092,0.029982,-0.540468,25.786003,0.000226,-0.000977,0.000000,0.000000,0.000000,0.000000
