0.475725,0.129959,0.000000,ovf,-0.000000,ovf,-0.000003,-0.061419,-0.000000,-198.399826,0.000000,ovf,-259386.359375,ovf,-0.000001,ovf,0.000000,-0.000000
-2.690000,-5.717635,0.000000,-0.000118,-0.038938,0.000000,-0.000734,0.039813,-5.763786,0.026360,-0.071076,223.045929,-0.000001,0.004030,0.000000,0.000000,0.000000,0.000000
-3.320000,-0.911927,0.000000,-0.000159,-0.048057,0.000000,-0.000733,0.049042,-0.919748,0.022330,-0.087552,35.592258,0.000115,0.000430,0.000000,0.000000,0.000000,0.000000
-2.850000,0.680326,0.000000,-0.000081,-0.041254,0.000000,-0.000848,0.043056,0.689903,0.021900,-0.104678,-19.604269,0.000129,-0.000655,0.000000,0.000000,0.000000,0.000000
-0.830000,2.923955,0.000000,0.000019,-0.012014,0.000000,-0.000977,0.012933,2.995507,0.022556,-0.039402,-67.927101,0.000091,-0.001392,0.000000,0.000000,0.000000,0.000000
0.410000,1.794903,0.000000,0.000209,0.005935,0.000000,-0.001069,-0.006363,1.859711,0.023947,0.023069,-35.436089,0.000018,-0.000606,0.000000,0.000000,0.000000,0.000000
-2.550000,-4.284607,0.000000,0.000455,-0.036911,0.000000,-0.001086,0.043176,-4.506052,0.024553,-0.179794,74.755325,0.000031,0.000930,0.000000,0.000000,0.000000,0.000000
0.790000,4.834659,0.000000,0.000574,0.011435,0.000000,-0.001118,-0.013116,5.163057,0.023623,0.061120,-76.544197,0.000062,-0.001286,0.000000,0.000000,0.000000,0.000000
-2.330000,-4.516208,0.000000,0.000841,-0.033727,0.000000,-0.001180,0.043837,-4.915346,0.024909,-0.224073,66.433380,0.000025,0.000654,0.000000,0.000000,0.000000,0.000000
-7.500000,-7.483588,0.000000,0.000979,-0.108563,0.000000,-0.001205,0.146506,-8.310294,0.024254,-0.808607,104.019295,0.000239,-0.000219,0.000000,0.000000,0.000000,0.000000
2.170000,13.997350,0.000000,0.000907,0.031411,0.000000,-0.001444,-0.043193,15.886320,0.024473,0.254168,-186.506348,0.000184,-0.002844,0.000000,0.000000,0.000000,0.000000
-1.710000,9.785117,0.000000,-0.000697,-0.024752,0.000000,-0.001383,0.024703,9.862195,0.029853,-0.044100,-381.645447,0.000253,-0.007340,0.000000,0.000000,0.000000,0.000000
-4.620000,-4.212233,0.000000,-0.000691,-0.066875,0.000000,-0.001636,0.067765,-4.246661,0.037193,-0.120976,164.336472,0.000102,0.002798,0.000000,0.000000,0.000000,0.000000
3.350000,11.536594,0.000000,-0.000552,0.048491,0.000000,-0.001739,-0.051287,11.710780,0.034395,0.124688,-332.773132,0.000083,-0.005969,0.000000,0.000000,0.000000,0.000000
-8.680000,-17.413456,0.000000,-0.000045,-0.125643,0.000000,-0.001822,0.134994,-17.847294,0.040364,-0.411265,404.711029,0.000027,0.006562,0.000000,0.000000,0.000000,0.000000
4.100000,18.499083,0.000000,-0.000083,0.059348,0.000000,-0.001849,-0.066045,19.178677,0.033802,0.239453,-365.442413,0.000184,-0.006284,0.000000,0.000000,0.000000,0.000000
-0.010000,-5.949235,0.000000,0.000443,-0.000145,0.000000,-0.002033,0.000679,-6.257021,0.040086,-0.002827,103.803871,-0.000117,0.001969,0.000000,0.000000,0.000000,0.000000
-0.630000,-0.897452,0.000000,0.000791,-0.009119,0.000000,-0.001916,0.011968,-0.961619,0.038117,-0.055770,14.256355,0.000014,0.000115,0.000000,0.000000,0.000000,0.000000
0.980000,2.330479,0.000000,0.001118,0.014186,0.000000,-0.001930,-0.016572,2.531938,0.038001,0.084709,-34.220413,0.000003,-0.000419,0.000000,0.000000,0.000000,0.000000
-1.520000,-3.618756,0.000000,0.001519,-0.022002,0.000000,-0.001934,0.031458,-4.021266,0.038420,-0.173627,50.333878,0.000009,0.000484,0.000000,0.000000,0.000000,0.000000
