-0.000000,0.000000,0.000000,0.000508,0.000000,ovf,-0.000000,ovf,0.000003,-0.061419,-0.000000,-0.000000,0.000000,ovf,-16600855.000000,ovf,-0.000001,ovf
6.870000,-12.274822,0.000000,-0.001585,0.099443,0.000000,-0.002551,-0.103342,-12.373471,0.042532,0.184490,478.826324,-0.000513,0.009560,0.000000,0.000000,0.000000,0.000000
-1.140000,-11.594496,0.000000,-0.001214,-0.016502,0.000000,-0.002038,0.015652,-11.687501,0.032972,-0.027943,452.280731,-0.000178,0.008471,0.000000,0.000000,0.000000,0.000000
-1.570000,-0.622426,0.000000,-0.001044,-0.022726,0.000000,-0.001860,0.022674,-0.632655,0.024501,-0.055124,17.977516,0.000050,0.000176,0.000000,0.000000,0.000000,0.000000
-2.860000,-1.867278,0.000000,-0.000900,-0.041399,0.000000,-0.001910,0.043528,-1.914552,0.024326,-0.132611,43.415005,0.000081,0.000463,0.000000,0.000000,0.000000,0.000000
8.750000,16.805504,0.000000,-0.000821,0.126656,0.000000,-0.001991,-0.141666,17.423397,0.023863,0.513624,-331.996246,-0.000053,-0.004898,0.000000,0.000000,0.000000,0.000000
3.560000,-7.512538,0.000000,-0.000236,0.051531,0.000000,-0.001938,-0.059816,-7.899653,0.028760,0.249086,131.055115,-0.000311,0.003164,0.000000,0.000000,0.000000,0.000000
-9.330000,-18.658308,0.000000,0.000121,-0.135052,0.000000,-0.001626,0.163240,-19.934454,0.025596,-0.760682,295.535522,0.000065,0.003532,0.000000,0.000000,0.000000,0.000000
-9.750000,-0.607951,0.000000,-0.000074,-0.141131,0.000000,-0.001691,0.178882,-0.662975,0.022064,-0.914358,8.960443,0.000471,-0.002310,0.000000,0.000000,0.000000,0.000000
5.280000,21.755964,0.000000,-0.000288,0.076428,0.000000,-0.002162,-0.102603,24.150236,0.024374,0.566293,-302.286591,0.000179,-0.004188,0.000000,0.000000,0.000000,0.000000
4.700000,-0.839552,0.000000,0.000130,0.068033,0.000000,-0.002341,-0.096148,-0.955540,0.028561,0.565784,11.218095,-0.000279,0.001751,0.000000,0.000000,0.000000,0.000000
5.480000,1.129052,0.000000,0.000522,0.079323,0.000000,-0.002063,-0.118539,1.310273,0.026811,0.736033,-14.578232,-0.000295,0.001712,0.000000,0.000000,0.000000,0.000000
