0.236882,0.129960,0.000000,nan,-0.000000,ovf,0.000003,-0.000000,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000001,ovf,0.000000,-0.000000
-1.600000,3.198981,0.000000,-0.001609,-0.023160,0.000000,-0.002504,0.022158,3.223473,0.039494,-0.039558,-124.741364,0.000121,-0.002469,0.000000,0.000000,0.000000,0.000000
-10.720000,-13.201223,0.000000,-0.001577,-0.155172,0.000000,-0.002625,0.157265,-13.307220,0.041964,-0.280755,514.960449,0.000173,0.008996,0.000000,0.000000,0.000000,0.000000
-3.970000,9.770642,0.000000,-0.001713,-0.057466,0.000000,-0.002798,0.058303,9.918141,0.032968,-0.141746,-281.833588,0.000345,-0.005737,0.000000,0.000000,0.000000,0.000000
1.180000,7.454638,0.000000,-0.001544,0.017081,0.000000,-0.003143,-0.020017,7.638119,0.038704,0.060984,-173.204483,0.000090,-0.003104,0.000000,0.000000,0.000000,0.000000
0.760000,-0.607951,0.000000,-0.001154,0.011001,0.000000,-0.003233,-0.013508,-0.632293,0.041808,0.048976,12.048100,-0.000049,0.000366,0.000000,0.000000,0.000000,0.000000
5.730000,7.194088,0.000000,-0.000793,0.082942,0.000000,-0.003184,-0.096754,7.560931,0.041442,0.402905,-125.435715,-0.000118,-0.001286,0.000000,0.000000,0.000000,0.000000
4.680000,-1.519878,0.000000,-0.000222,0.067743,0.000000,-0.003066,-0.082078,-1.626484,0.042728,0.382472,24.113220,-0.000253,0.001494,0.000000,0.000000,0.000000,0.000000
1.030000,-5.283384,0.000000,0.000301,0.014909,0.000000,-0.002813,-0.018525,-5.750893,0.041234,0.094691,77.726204,-0.000159,0.001725,0.000000,0.000000,0.000000,0.000000
4.910000,5.616310,0.000000,0.000671,0.071072,0.000000,-0.002655,-0.094157,6.231299,0.039509,0.519681,-77.996666,-0.000136,-0.000074,0.000000,0.000000,0.000000,0.000000
3.200000,-2.475229,0.000000,0.001208,0.046320,0.000000,-0.002518,-0.063877,-2.813978,0.039584,0.375882,33.036270,-0.000226,0.001642,0.000000,0.000000,0.000000,0.000000
1.510000,-2.446279,0.000000,0.001681,0.021857,0.000000,-0.002292,-0.030350,-2.849916,0.037941,0.188452,31.708467,-0.000136,0.001107,0.000000,0.000000,0.000000,0.000000
0.610000,0.854027,0.000000,-0.001407,0.008830,0.000000,-0.002336,-0.010385,0.859827,0.040759,0.018540,-33.273437,-0.000012,-0.000582,0.000000,0.000000,0.000000,0.000000
-5.660000,-9.075841,0.000000,-0.001286,-0.081929,0.000000,-0.002324,0.082570,-9.149028,0.041341,-0.147406,354.047363,0.000050,0.006306,0.000000,0.000000,0.000000,0.000000
-4.890000,1.114577,0.000000,-0.001194,-0.070783,0.000000,-0.002374,0.072772,1.130392,0.035035,-0.176922,-32.121170,0.000218,-0.001098,0.000000,0.000000,0.000000,0.000000
-6.860000,-2.851581,0.000000,-0.001074,-0.099299,0.000000,-0.002592,0.105572,-2.923772,0.036133,-0.321631,66.300415,0.000230,0.000387,0.000000,0.000000,0.000000,0.000000
-2.260000,6.658512,0.000000,-0.001052,-0.032714,0.000000,-0.002822,0.035186,6.902102,0.035746,-0.127570,-131.516922,0.000225,-0.002836,0.000000,0.000000,0.000000,0.000000
2.490000,6.875638,0.000000,-0.000834,0.036043,0.000000,-0.003048,-0.042611,7.226326,0.038582,0.177441,-119.884628,0.000021,-0.001785,0.000000,0.000000,0.000000,0.000000
