-0.237863,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.061435,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000011,ovf,0.000000,-0.000000
1.380000,1.823853,0.000000,0.001404,0.019976,0.000000,-0.000966,-0.021459,1.914843,0.036180,0.089359,-31.767204,-0.000022,-0.000357,0.000000,0.000000,0.000000,0.000000
-9.960000,-16.414679,0.000000,0.001837,-0.144171,0.000000,-0.000944,0.176325,-17.538971,0.036537,-0.821657,260.021637,0.000145,0.002702,0.000000,0.000000,0.000000,0.000000
3.380000,19.309683,0.000000,0.001794,0.048926,0.000000,-0.001089,-0.059770,21.003286,0.033835,0.305513,-283.869995,0.000236,-0.004554,0.000000,0.000000,0.000000,0.000000
8.080000,6.803262,0.000000,0.002331,0.116958,0.000000,-0.001324,-0.153307,7.548084,0.038389,0.846146,-94.478783,-0.000272,0.000508,0.000000,0.000000,0.000000,0.000000
3.600000,-6.484811,0.000000,0.003079,0.052110,0.000000,-0.001052,-0.069426,-7.366625,0.037881,0.408538,86.484612,-0.000327,0.002742,0.000000,0.000000,0.000000,0.000000
2.280000,-1.910703,0.000000,0.003660,0.033003,0.000000,-0.000725,-0.044140,-2.228435,0.035139,0.274077,24.793798,-0.000161,0.001206,0.000000,0.000000,0.000000,0.000000
-0.500000,5.471560,0.000000,-0.002726,-0.007238,0.000000,-0.003996,0.004749,5.513740,0.056420,-0.008478,-213.369675,0.000118,-0.004065,0.000000,0.000000,0.000000,0.000000
-1.880000,-1.997554,0.000000,-0.002612,-0.027213,0.000000,-0.004114,0.025189,-2.014880,0.060485,-0.044968,77.971436,0.000030,0.001362,0.000000,0.000000,0.000000,0.000000
0.060000,2.808155,0.000000,-0.002158,0.000869,0.000000,-0.004144,-0.003164,2.848949,0.059123,0.007693,-80.955650,0.000045,-0.001515,0.000000,0.000000,0.000000,0.000000
-12.490000,-18.166157,0.000000,-0.001628,-0.180793,0.000000,-0.004189,0.192567,-18.619335,0.060637,-0.586663,422.218109,0.000168,0.006411,0.000000,0.000000,0.000000,0.000000
0.230000,18.412233,0.000000,-0.001680,0.003329,0.000000,-0.004357,-0.005567,19.087893,0.054227,0.020182,-363.712585,0.000346,-0.006844,0.000000,0.000000,0.000000,0.000000
0.510000,0.405301,0.000000,-0.001181,0.007382,0.000000,-0.004703,-0.009895,0.422757,0.061071,0.041205,-7.013533,-0.000019,-0.000009,0.000000,0.000000,0.000000,0.000000
-0.910000,-2.055454,0.000000,-0.000681,-0.013172,0.000000,-0.004684,0.015085,-2.199704,0.061080,-0.070293,32.611412,-0.000001,0.000427,0.000000,0.000000,0.000000,0.000000
-1.420000,-0.738226,0.000000,-0.000248,-0.020555,0.000000,-0.004683,0.025752,-0.807471,0.060652,-0.131630,10.913382,0.000054,-0.000150,0.000000,0.000000,0.000000,0.000000
