ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,-12998235.000000,0.000000,ovf,-1037553.437500,ovf,-0.000001,ovf,0.000000,-0.000000,ovf,ovf,ovf
-4.500000,-4.791233,0.000000,-0.001415,-0.065138,0.000000,-0.002321,0.073630,-5.037745,0.018188,-0.306613,83.576111,0.000104,0.000756,0.000000,0.000000,0.000000,0.000000
-2.670000,2.648930,0.000000,-0.001508,-0.038648,0.000000,-0.002424,0.044852,2.829250,0.017432,-0.209007,-41.944653,0.000175,-0.001361,0.000000,0.000000,0.000000,0.000000
-0.050000,3.792457,0.000000,-0.001533,-0.000724,0.000000,-0.002599,-0.001026,4.125089,0.018793,0.005245,-55.752655,0.000075,-0.001039,0.000000,0.000000,0.000000,0.000000
-4.400000,-6.296636,0.000000,-0.001458,-0.063690,0.000000,-0.002674,0.083232,-6.990829,0.019832,-0.459382,87.503647,0.000093,0.000416,0.000000,0.000000,0.000000,0.000000
-0.910000,-3.589806,0.000000,0.001511,-0.013172,0.000000,0.001486,0.015041,-3.618424,-0.000135,-0.026851,140.025101,-0.000028,0.002578,0.000000,0.000000,0.000000,0.000000
2.350000,4.718858,0.000000,0.001478,0.034016,0.000000,0.001514,-0.033316,4.756387,-0.002713,0.059477,-184.061798,-0.000000,-0.003329,0.000000,0.000000,0.000000,0.000000
-5.540000,-11.420795,0.000000,0.001605,-0.080192,0.000000,0.001514,0.085538,-11.594547,0.000617,-0.207959,329.470276,0.000012,0.005682,0.000000,0.000000,0.000000,0.000000
-1.860000,5.326809,0.000000,0.001374,-0.026924,0.000000,0.001502,0.030414,5.459003,-0.005066,-0.092658,-123.790146,0.000186,-0.002605,0.000000,0.000000,0.000000,0.000000
-2.880000,-1.476453,0.000000,0.001319,-0.041688,0.000000,0.001316,0.047794,-1.530982,-0.002460,-0.173281,29.172291,0.000100,0.000088,0.000000,0.000000,0.000000,0.000000
-4.150000,-1.838328,0.000000,0.001228,-0.060071,0.000000,0.001216,0.070830,-1.932851,-0.002549,-0.294951,32.065960,0.000155,-0.000191,0.000000,0.000000,0.000000,0.000000
-3.370000,1.129052,0.000000,0.001090,-0.048781,0.000000,0.001061,0.060226,1.205913,-0.002358,-0.280645,-17.878096,0.000185,-0.001097,0.000000,0.000000,0.000000,0.000000
