ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,-50759.355469,0.000000,ovf,ovf,ovf,-0.000000,ovf,0.000000,-0.000000,ovf,ovf,ovf
0.950000,5.066259,0.000000,0.001778,0.013751,0.000000,0.001637,-0.012521,5.143040,0.001780,0.030442,-146.144455,0.000063,-0.002690,0.000000,0.000000,0.000000,0.000000
2.210000,1.823853,0.000000,0.001903,0.031990,0.000000,0.001574,-0.032337,1.868635,0.004470,0.098516,-42.373768,-0.000052,-0.000531,0.000000,0.000000,0.000000,0.000000
-0.380000,-3.749032,0.000000,0.002099,-0.005501,0.000000,0.001626,0.008445,-3.887820,0.005001,-0.030618,74.080940,-0.000051,0.001321,0.000000,0.000000,0.000000,0.000000
-0.250000,0.188175,0.000000,0.002194,-0.003619,0.000000,0.001677,0.006716,0.196972,0.003680,-0.027967,-3.267763,0.000022,-0.000140,0.000000,0.000000,0.000000,0.000000
2.490000,3.966157,0.000000,0.002309,0.036043,0.000000,0.001655,-0.040738,4.235914,0.003820,0.189834,-62.798962,-0.000030,-0.000675,0.000000,0.000000,0.000000,0.000000
-4.630000,-10.306218,0.000000,0.002558,-0.067019,0.000000,0.001685,0.088235,-11.213507,0.004496,-0.451015,151.556183,0.000026,0.001651,0.000000,0.000000,0.000000,0.000000
-4.600000,0.043425,0.000000,0.002522,-0.066585,0.000000,0.001658,0.092426,0.046493,0.002845,-0.510126,-0.581954,0.000251,-0.001394,0.000000,0.000000,0.000000,0.000000
-1.980000,-6.137411,0.000000,-0.000781,-0.028661,0.000000,-0.001391,0.028609,-6.186876,0.026650,-0.051074,239.418610,-0.000040,0.004398,0.000000,0.000000,0.000000,0.000000
-4.590000,-3.777982,0.000000,-0.000794,-0.066440,0.000000,-0.001350,0.067215,-3.808565,0.022252,-0.119994,147.383133,0.000110,0.002458,0.000000,0.000000,0.000000,0.000000
-4.480000,0.159226,0.000000,-0.000799,-0.064848,0.000000,-0.001460,0.066979,0.161021,0.019794,-0.162838,-4.575561,0.000184,-0.000532,0.000000,0.000000,0.000000,0.000000
7.970000,18.021406,0.000000,-0.000804,0.115366,0.000000,-0.001644,-0.124860,18.467775,0.020326,0.380391,-418.781281,0.000012,-0.006900,0.000000,0.000000,0.000000,0.000000
-11.320000,-27.922323,0.000000,-0.000252,-0.163857,0.000000,-0.001656,0.181814,-28.952122,0.027225,-0.659186,551.671692,-0.000056,0.008676,0.000000,0.000000,0.000000,0.000000
3.690000,21.727013,0.000000,-0.000556,0.053413,0.000000,-0.001599,-0.062360,22.840815,0.018550,0.259681,-378.928772,0.000264,-0.006489,0.000000,0.000000,0.000000,0.000000
-1.510000,-7.527013,0.000000,-0.000211,-0.021857,0.000000,-0.001863,0.026141,-8.042722,0.025038,-0.121816,119.236267,-0.000082,0.001940,0.000000,0.000000,0.000000,0.000000
-0.370000,1.650153,0.000000,-0.000092,-0.005356,0.000000,-0.001781,0.006676,1.793506,0.023098,-0.034123,-24.240137,0.000052,-0.000555,0.000000,0.000000,0.000000,0.000000
-2.150000,-2.576555,0.000000,0.000075,-0.031121,0.000000,-0.001833,0.041723,-2.862252,0.023653,-0.230283,35.826588,0.000059,0.000056,0.000000,0.000000,0.000000,0.000000
-2.110000,0.057900,0.000000,0.000167,-0.030542,0.000000,-0.001892,0.043483,0.063597,0.023597,-0.255877,-0.746634,0.000119,-0.000706,0.000000,0.000000,0.000000,0.000000
-7.390000,-28.602652,0.000000,-0.000216,-0.106970,0.000000,-0.000659,0.109353,-28.830612,0.019098,-0.195220,1115.681641,-0.000250,0.020599,0.000000,0.000000,0.000000,0.000000
-7.370000,0.028950,0.000000,-0.000459,-0.106681,0.000000,-0.000409,0.108761,0.029240,-0.001501,-0.194163,-1.131541,0.000295,-0.000585,0.000000,0.000000,0.000000,0.000000
